date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-13,53650,573,28507070,49750.5584642234,1.2555089,419680596.5772499957166798698,334271302.67977047,4537649.05528544,0.000871015505403687,0.1869694256453681885091843492,0.0001,0.0214656828133862,4.11032217,882.30871962049270632054,7162.5,133.715981529161,1537479.531508786575,7162.5,1537479.531508786575,59.11008011,47.437645536772,0.05282168722071372,214.656828133862,,20.131443275291517,1955123.44156848,4719,144814,33075.97347337,7099983.55323336263145225494,0.974668073345878,209.2191571077685359892099208,0.0108,2.3182937438457096,141145.58237351,30297863.01740439777396279562,0.08257486230743237,0.07198017860507358,0.07628389076342958
2017-08-14,58094,570,18303913,32112.1280701754,1.23326336,414117968.6378108884220642506,335790376.8333073,4639217.82598791,0.000856212960348765,0.1806973899684062634853747773,0.0001,0.0211042577415322,4.12437783,870.41932747781275911126,7125,132.532911985459,1503678.36408416925,7125,1503678.36408416925,46.62218755,46.396279873413214,0.049027176666636536,211.042577415322,,31.57648306144059,1962248.44156848,4817,155600,42088.29624876,8882422.51935793882914750072,1.60929734864672,339.6302602860478448320930438,0.01071812,2.26197966984671103464,250406.66744943,52846468.50050912231954216646,0.08257761595253107,0.06885581360120029,0.07611469339514701
2017-08-15,50707,575,16556748,28794.3443478261,1.24072642,418716419.8893730595776550638,337476830.1716928,4291624.17342689,0.000815013143922773,0.1732777281978225731946206907,0.0001,0.0212607280618583,3.71482991,789.79988512567543021753,7187.5,133.207556774386,1528114.8294460653125,7187.5,1528114.8294460653125,43.09883642,46.49479765146186,0.05110714411199813,212.607280618583,,31.00601313982791,1969435.94156848,4558,146535,45695.80307336,9715260.42710935701332824888,1.42553120931054,303.0783138484339567801417648,0.010803435,2.296888936689621232605,208890.21575632,44411580.71978027434279169456,0.08252035275321341,0.06885475932957992,0.07606457113694987
2017-08-16,51556,573,18093834,31577.3717277487,1.25973677,427627600.0784902347920212842,339457901.5177343,4515435.67659424,0.000752281302050307,0.1627524544259078884949580726,0.0001,0.0216345207547142,3.55904284,769.98186188896969756328,7162.5,132.263207590383,1549572.549056404575,7162.5,1549572.549056404575,55.28868258,47.24440133718747,0.04956727141476803,216.345207547142,,19.73685518036735,1976598.44156848,4731,160698,35750.5071422,7734450.8875948414141975924,1.41591554488438,306.326542427235845225789442,0.010719485,2.31910920712347546187,227534.79623183,49226062.71497192481868592986,0.08248574793864648,0.06633573034415913,0.07594756030538359
2017-08-17,52891,569,18400460,32338.2425307557,1.22371861,415365612.6574801182368455886,339429023.01811445,4428242.02705057,0.000708657123875715,0.1483844214671650422641461077,0.0001,0.0209388174432843,3.46675065,725.89658981737185159795,7112.5,130.868991323269,1489273.3906535958375,7112.5,1489273.3906535958375,36.4470319,45.43951375178016,0.04859866658698369,209.388174432843,,4.127425574488302,1983710.94156848,4892,156617,54427.228718,11396418.060700825891985274,5.07171688029154,1061.957538804479297863991048,0.01059706,2.21889904775530324158,794317.08264062,166320603.8549411090292938827,0.0824700952056477,0.06385860500168568,0.07581523014557766
2017-08-18,56531,576,26821496,46565.0972222222,1.17788352,401316991.1993907767213992755,340710251.2743846,4413018.45068251,0.000760733356750823,0.153344489430418858028975198,0.0001,0.0201574557063424,3.46514044,698.48414935555814726656,7200,131.999877298861,1451336.8108566528,7200,1451336.8108566528,20.02955824,43.04240064364127,0.04906272500111203,201.574557063424,,10.713575181390949,1990910.94156848,4555,154517,99398.64460465,20036237.7588870235254553216,4.80843692836063,969.2585440017050322352545971,0.01060169,2.13703096587373158656,742985.2488595,149766922.443511564165164928,0.082541726219017,0.06145998591407551,0.07514823235439996
2017-08-19,63921,572,54780433,95769.9877622378,1.33918484,460895344.0667995002076313059,344161112.74556845,4368235.29497598,0.000658572335248395,0.1519137463389434803526759928,0.0001,0.0230671314612154,3.89743108,899.02555083386714534632,7150,130.614134219117,1649299.8994769011,7150,1649299.8994769011,13.78916121,47.69907789790773,0.055445404184319966,230.671314612154,,10.191798579642882,1998060.94156848,5918,161128,144900.83267674,33424465.56193937736275709796,10.8108872646217,2493.761577454081134501032142,0.010668455,2.46090653973060740207,1741936.64317397,401814815.4520222743620984314,0.08306003994932512,0.06110410699523767,0.07724758071873769
2017-08-20,56637,581,17731247,30518.4974182444,1.39380883,482996271.7083779380996987061,346529784.22947216,4501614.79357477,0.000503010596765198,0.1211536442606833728555485685,0.0001,0.0240857041660371,2.705694,651.685452478215852474,7262.5,132.188775389104,1749224.2650584443875,7262.5,1749224.2650584443875,29.75780772,49.82340902148809,0.05894963750510016,240.857041660371,,19.147924553494317,2005323.44156848,5379,153691,67388.1443408,16230909.0889071598392784368,5.74561498194331,1383.871827070371587586595568,0.010626365,2.559434837503308281415,883049.31218985,212688644.9742726585739734344,0.08302566231562733,0.06108649289706959,0.07680435727494633
2017-08-21,56853,567,33491373,59067.6772486772,1.36649578,477036774.0562504941875536403,349094948.21417075,4901276.54747513,0.000355266658172552,0.08421503632468290315658694557,0.0001,0.0237047396335684,1.95183502,462.67740956780770685368,7087.5,128.549166900461,1680073.42152916035,7087.5,1680073.42152916035,31.16601558,49.103461954596625,0.05937129955154527,237.047396335684,,8.378804758694784,2012410.94156848,5494,158476,64570.6839303,15306312.5052920059632588252,2.06340216839887,489.1241116123567163393262771,0.010815185,2.56371144513874456154,326999.72203918,77514432.71188000366828009912,0.0826177882550071,0.059616274043999176,0.07680310907222553
2017-08-22,60907,573,37981083,66284.612565445,1.31164628,460513100.7988078046604430054,351095496.71537626,4507871.71605338,0.000430077316917852,0.09806835182148827366121186106,0.0001,0.0228024934038128,2.02609424,462.00000543103108118272,7162.5,129.44874626444,1633228.5900480918,7162.5,1633228.5900480918,19.91623187,46.66606640700353,0.05596623450325857,228.024934038128,,7.373674697302741,2019573.44156848,4711,156673,101403.39068749,23122501.47275743035579261872,3.06203090536091,698.2193952176308632895407765,0.01073256,2.44729128606025104768,479737.56803561,109392127.3069319138938017381,0.08238900748865105,0.05981359215989264,0.07690666847488326
